cell_name,cohort,has_c1_chg,has_c5_chg,has_c1_dis,has_c5_dis,dop_ok_c1_chg,dop_ok_c5_chg,dop_ok_c1_dis,dop_ok_c5_dis,fit_time_s_total,n_features_success,error_msg
AR4020,AR,true,true,true,true,true,true,true,true,11.307599235326052,6,""
AR4021,AR,true,true,true,true,true,true,true,true,8.652400363236666,6,""
AR4023,AR,true,true,true,true,true,true,true,true,10.190660279244184,6,""
AR4024,AR,true,true,true,true,true,true,true,true,8.56838957965374,6,""
AR4035,AR,true,true,true,true,true,true,true,true,11.531947162002325,6,""
AR4037,AR,true,true,true,true,true,true,true,true,4.424623019993305,6,""
AR4038,AR,true,true,true,true,true,true,true,true,5.29053857177496,6,""
AR4039,AR,true,true,true,true,true,true,true,true,9.872630577534437,6,""
AR4041,AR,true,true,true,true,true,true,true,true,9.730418961495161,6,""
AR4042,AR,true,true,true,true,true,true,true,true,10.77237606793642,6,""
AR4053,AR,true,true,true,true,true,true,true,true,5.781458061188459,6,""
AR4055,AR,true,true,true,true,true,true,true,true,10.701987121254206,6,""
AR4056,AR,true,true,true,true,true,true,true,true,10.163237977772951,6,""
AR4057,AR,false,false,false,false,false,false,false,false,0.0,0,missing regular cycle: cd1=None cd5=None
AR4064,AR,true,true,true,true,true,true,true,true,5.003949694335461,6,""
AR4065,AR,true,true,true,true,true,true,true,true,5.254735216498375,6,""
AR4068,AR,true,true,true,true,true,true,true,true,6.7337400540709496,6,""
AR4069,AR,true,true,true,true,true,true,true,true,5.2704034969210625,6,""
AR4070,AR,true,true,true,true,true,true,true,true,5.943441778421402,6,""
AR4071,AR,true,true,true,true,true,true,true,true,5.572655964642763,6,""
AR4072,AR,true,true,true,true,true,true,true,true,8.667713597416878,6,""
AR4078,AR,true,true,true,true,true,true,true,true,4.931956082582474,6,""
AR4080,AR,true,true,true,true,true,true,true,true,9.079089194536209,6,""
AR4082,AR,true,true,true,true,true,true,true,true,10.552442539483309,6,""
AR4084,AR,true,true,true,true,true,true,true,true,6.148871198296547,6,""
AR4085,AR,true,true,true,true,true,true,true,true,6.273212771862745,6,""
AR4086,AR,true,true,true,true,true,true,true,true,7.134855814278126,6,""
AR4088,AR,true,true,true,true,true,true,true,true,7.016389466822147,6,""
AR4095,AR,true,true,true,true,true,true,true,true,5.776399403810501,6,""
AR4098,AR,true,true,true,true,true,true,true,true,4.295141760259867,6,""
AR4100,AR,true,true,true,true,true,true,true,true,7.009769253432751,6,""
AR4101,AR,true,true,true,true,true,true,true,true,7.9544917196035385,6,""
AR4102,AR,true,true,true,true,true,true,true,true,9.09676205739379,6,""
AR4109,AR,true,true,true,true,true,true,true,true,4.890140026807785,6,""
AR4110,AR,true,true,true,true,true,true,true,true,4.098519049584866,6,""
AR4111,AR,true,true,true,true,true,true,true,true,6.275014646351337,6,""
AR4115,AR,true,true,true,true,true,true,true,true,5.391339801251888,6,""
AR4116,AR,true,true,true,true,true,true,true,true,5.139714885503054,6,""
AR4121,AR,true,true,true,true,true,true,true,true,5.425905246287584,6,""
AR4122,AR,true,true,true,true,true,true,true,true,7.382627069950104,6,""
AR4123,AR,true,true,true,true,true,true,true,true,9.38361793011427,6,""
AR4127,AR,true,true,true,true,true,true,true,true,5.126094717532396,6,""
AR4128,AR,true,true,true,true,true,true,true,true,8.807015016674995,6,""
AR4130,AR,true,true,true,true,true,true,true,true,5.505541734397411,6,""
AR4131,AR,true,true,true,true,true,true,true,true,9.87724070250988,6,""
