seed,N,feature_set,cell_name,cohort,y_true,y_prob,y_pred
0,200,fs_a_plus_cap_c5,AR4019,AR,0,0.5101560330829136,1
0,200,fs_a_plus_cap_c5,AR4055,AR,1,0.9886923912452111,1
0,200,fs_a_plus_cap_c5,AR4380,AR,1,0.8990827328963842,1
0,200,fs_a_plus_cap_c5,AR4053,AR,1,0.9902285620521538,1
0,200,fs_a_plus_cap_c5,AR3864,AR,1,0.9647449455027447,1
0,200,fs_a_plus_cap_c5,AR4164,AR,1,0.849315775830545,1
0,200,fs_a_plus_cap_c5,AR3873,AR,1,0.9807483396167548,1
0,300,fs_a_only,AR4273,AR,1,0.07756180012634642,0
0,300,fs_a_only,AR3973,AR,0,0.12390636375882425,0
0,300,fs_a_only,AR4071,AR,1,0.9275905864110001,1
0,300,fs_a_only,AR4193,AR,1,0.86470233262213,1
0,300,fs_a_only,AR4293,AR,0,0.2216425243823498,0
0,300,fs_a_only,AR3891,AR,1,0.2577610380310112,0
0,300,fs_a_only,AR4306,AR,0,0.23953241553548196,0
0,300,fs_a_only,AR4138,AR,0,0.9183005883600672,1
0,300,fs_a_only,AR4020,AR,0,0.10663507765283438,0
0,300,fs_a_only,0MC6-260108-R001,0MC,0,0.7469796881966332,1
0,300,fs_a_only,AR4019,AR,0,0.47631489719210285,0
0,300,fs_a_only,AR4170,AR,1,0.9615002009662226,1
0,300,fs_a_only,0MC8-251113-R001,0MC,1,0.55611813185747,1
0,300,fs_a_only,AR4379,AR,1,0.9383093002661753,1
0,300,fs_a_only,AR4123,AR,0,0.007049169775023399,0
0,300,fs_a_only,0MC2-251111-003,0MC,1,0.9313846324709253,1
0,300,fs_a_only,AR4582,AR,0,0.9016738517205957,1
0,300,fs_a_only,AR4359,AR,1,0.9241016732953871,1
0,300,fs_a_only,AR3773,AR,1,0.7734705058968275,1
0,300,fs_a_only,AR4086,AR,1,0.9701231720533579,1
0,300,fs_a_only,AR4267,AR,1,0.8245529682539027,1
0,300,fs_a_only,AR4368,AR,1,0.7358504224736546,1
0,300,fs_a_only,0MC2-251022-001,0MC,1,0.4302236146405664,0
0,300,fs_a_only,AR3865,AR,0,0.262693452363048,0
0,300,fs_a_only,AR4307,AR,1,0.9692828357494666,1
0,300,fs_a_only,AR4402,AR,0,0.226585986497945,0
0,300,fs_a_only,AR3920,AR,1,0.9566713663306511,1
0,300,fs_a_only,AR4240,AR,1,0.9139412804898924,1
0,300,fs_a_only,AR4272,AR,1,0.6987940536701103,1
0,300,fs_a_only,AR4239,AR,0,0.02590132648441251,0
0,300,fs_a_only,AR4111,AR,1,0.5737380532646051,1
0,300,fs_a_only,AR4431,AR,0,0.00509547150285439,0
0,300,fs_a_only,AR3944,AR,1,0.2439210105484464,0
0,300,fs_a_only,0MC2-251111-008,0MC,1,0.9541692827337318,1
0,300,fs_a_only,AR3917,AR,1,0.9178546955641016,1
0,300,fs_a_only,AR3908,AR,1,0.9679652718969627,1
0,300,fs_a_only,0MC2-251022-003,0MC,1,0.7504787920726814,1
0,300,fs_a_only,AR4319,AR,0,0.5302331895723439,1
0,300,fs_a_only,AR3919,AR,1,0.9515407441318895,1
0,300,fs_a_only,0MC6-260213-R001,0MC,0,0.400614337646477,0
0,300,fs_a_only,AR4145,AR,1,0.9444358450146061,1
0,300,fs_a_only,AR4304,AR,0,0.23400133816341842,0
0,300,fs_a_only,AR4439,AR,0,0.90884013842393,1
0,300,fs_a_only,AR4244,AR,1,0.3831810565665605,0
0,300,fs_a_only,AR3879,AR,1,0.68908321379047,1
0,300,fs_a_only,AR4023,AR,0,0.6333691744485168,1
0,300,fs_a_only,AR3887,AR,1,0.6006531867730468,1
0,300,fs_a_only,AR3962,AR,1,0.915722286804217,1
0,300,fs_a_only,AR4197,AR,1,0.8011030859824033,1
0,300,fs_a_only,AR4569,AR,1,0.335704525369905,0
0,300,fs_a_only,AR4128,AR,0,0.8226179160978715,1
0,300,fs_a_plus_cap_c5,AR4273,AR,1,0.027356151096377186,0
0,300,fs_a_plus_cap_c5,AR3973,AR,0,0.029698394929119264,0
0,300,fs_a_plus_cap_c5,AR4071,AR,1,0.9940550678347558,1
0,300,fs_a_plus_cap_c5,AR4193,AR,1,0.7706312207926506,1
0,300,fs_a_plus_cap_c5,AR4293,AR,0,0.06549184587424567,0
0,300,fs_a_plus_cap_c5,AR3891,AR,1,0.12263498300947932,0
0,300,fs_a_plus_cap_c5,AR4306,AR,0,0.03913233219703679,0
0,300,fs_a_plus_cap_c5,AR4138,AR,0,0.8877494236322584,1
0,300,fs_a_plus_cap_c5,AR4020,AR,0,0.030040594379992666,0
0,300,fs_a_plus_cap_c5,0MC6-260108-R001,0MC,0,0.45362607490332335,0
0,300,fs_a_plus_cap_c5,AR4019,AR,0,0.2814392143258258,0
0,300,fs_a_plus_cap_c5,AR4170,AR,1,0.9091836920355816,1
0,300,fs_a_plus_cap_c5,0MC8-251113-R001,0MC,1,0.6457532212229589,1
0,300,fs_a_plus_cap_c5,AR4379,AR,1,0.8242268125805606,1
0,300,fs_a_plus_cap_c5,AR4123,AR,0,0.0005360253869957895,0
0,300,fs_a_plus_cap_c5,0MC2-251111-003,0MC,1,0.9805934876004888,1
0,300,fs_a_plus_cap_c5,AR4582,AR,0,0.979652523283261,1
0,300,fs_a_plus_cap_c5,AR4359,AR,1,0.8543212422473181,1
0,300,fs_a_plus_cap_c5,AR3773,AR,1,0.8790274667846244,1
0,300,fs_a_plus_cap_c5,AR4086,AR,1,0.994565071277952,1
0,300,fs_a_plus_cap_c5,AR4267,AR,1,0.9798661533695506,1
0,300,fs_a_plus_cap_c5,AR4368,AR,1,0.6010103117695889,1
0,300,fs_a_plus_cap_c5,0MC2-251022-001,0MC,1,0.41899346650508473,0
0,300,fs_a_plus_cap_c5,AR3865,AR,0,0.3239282500911899,0
0,300,fs_a_plus_cap_c5,AR4307,AR,1,0.9726059626700148,1
0,300,fs_a_plus_cap_c5,AR4402,AR,0,0.17061376906502396,0
0,300,fs_a_plus_cap_c5,AR3920,AR,1,0.9889235990694449,1
0,300,fs_a_plus_cap_c5,AR4240,AR,1,0.9654166299732166,1
0,300,fs_a_plus_cap_c5,AR4272,AR,1,0.575317854623798,1
0,300,fs_a_plus_cap_c5,AR4239,AR,0,0.001380509947598938,0
0,300,fs_a_plus_cap_c5,AR4111,AR,1,0.6191918912365295,1
0,300,fs_a_plus_cap_c5,AR4431,AR,0,0.00023410139415955275,0
0,300,fs_a_plus_cap_c5,AR3944,AR,1,0.09848755843921064,0
0,300,fs_a_plus_cap_c5,0MC2-251111-008,0MC,1,0.9874792108105388,1
0,300,fs_a_plus_cap_c5,AR3917,AR,1,0.9538153025931834,1
0,300,fs_a_plus_cap_c5,AR3908,AR,1,0.9849897323982953,1
0,300,fs_a_plus_cap_c5,0MC2-251022-003,0MC,1,0.8465171262406217,1
0,300,fs_a_plus_cap_c5,AR4319,AR,0,0.26911972165489506,0
0,300,fs_a_plus_cap_c5,AR3919,AR,1,0.9735130004083928,1
0,300,fs_a_plus_cap_c5,0MC6-260213-R001,0MC,0,0.5303215334996912,1
0,300,fs_a_plus_cap_c5,AR4145,AR,1,0.9579815092837048,1
0,300,fs_a_plus_cap_c5,AR4304,AR,0,0.09385103033573108,0
0,300,fs_a_plus_cap_c5,AR4439,AR,0,0.8426674056565926,1
0,300,fs_a_plus_cap_c5,AR4244,AR,1,0.23492976908506558,0
0,300,fs_a_plus_cap_c5,AR3879,AR,1,0.6114058898489564,1
0,300,fs_a_plus_cap_c5,AR4023,AR,0,0.4523492452625819,0
0,300,fs_a_plus_cap_c5,AR3887,AR,1,0.6037016724151117,1
