cell_name,cohort,dqv_norm_c5_c1_var_log10,dqv_norm_c5_c1_min,dqv_norm_c5_c1_mean,dqv_norm_c5_c1_skew
0MC6-260514-R003,0MC,-5.284975241202102,-0.0068936008571786386,-0.003777701740379905,0.6317815611207815
0MC6-260514-R004,0MC,-5.352288175456679,-0.007822006191951598,-0.004368699090938967,0.5531340519820768
0MC6-260514-R005,0MC,-5.103916028240814,-0.008833196159114506,-0.00581504398143175,0.5393169466975737
0MC6-260514-R006,0MC,-5.097953567368824,-0.006291281718649506,-0.003192162301515221,0.5877238628714341
0MC8-251113-R001,0MC,-5.529602519676768,-0.00982544427317951,-0.005930674942156833,0.44066481651317857
0MC8-251113-R002,0MC,-5.4403722043290434,-0.008576170041422004,-0.00411374590851861,-0.6956894477112072
0MC8-251209-R002,0MC,-5.357279305541699,-0.010442603594938723,-0.0049670987052305385,-1.0807782403713504
0MC8-251216-R001,0MC,-5.594963445736381,-0.006753983773147159,-0.004044146342970018,1.0976620319102381
AR-2736,AR,-4.981785274713301,-0.015436915021320871,-0.006340789261789921,-0.6329459039673344
AR-3420,AR,-5.2815279798610115,-0.006387872308993591,-0.0019543315893295293,0.5205953521667374
AR-3421,AR,-5.264195811307878,-0.0053403252259819674,-0.0015015477429630554,0.6858361893610898
AR-3422,AR,-4.81964234715525,-0.009557153292972465,-0.00514788885058892,0.37922412977148057
AR-3423,AR,-4.879087432155543,-0.00875125605518102,-0.0039137282321511065,0.8483419719951675
AR3684,AR,-4.5982955676907435,-0.0068885683404447005,-0.0004243381346740586,0.7887099928988442
AR3685,AR,-3.3915865699861936,-0.007508804372237924,0.022146671168708658,-0.35100751622549736
AR3771,AR,-5.241788306460238,-0.005155736543954277,-0.002534393516379224,1.0658547194948802
AR3772,AR,-4.906577363465802,-0.010403471396695773,-0.006257595901499376,0.20429083881188595
AR3773,AR,-4.843238152498608,-0.009742840640703217,-0.004894382176211193,0.05891090627180974
AR3774,AR,-5.443807327157916,-0.010637869109028768,-0.006091383809524891,1.306033831390657
AR3775,AR,-5.335314277407581,-0.005613010027711942,-0.003240655814181928,0.6866834180156286
AR3776,AR,-4.875796966861821,-0.011730575686733167,-0.00722140610884493,0.23975202510373933
AR3843,AR,NaN,NaN,NaN,NaN
AR3854,AR,-5.310462278025705,-0.011768977759079766,-0.007647434586148144,-0.24911060919530706
AR3858,AR,-3.813335377362328,-0.016551639291276767,0.0006453746346646641,0.8319895297947092
AR3864,AR,-5.526394277583261,-0.006483393256245861,-0.004607610278137837,1.287672467493804
AR3865,AR,-6.18123840145482,-0.007573933443813596,-0.005697605578275779,2.54318055347785
AR3867,AR,-4.124383830912351,-0.014486436831594054,0.000711735308153327,0.08705094652573638
AR3870,AR,-4.219948365309521,-0.03554977870835372,-0.01805076448480698,-0.5955175210235695
AR3871,AR,-3.9057204826812626,-0.009118529483964547,0.007184750382574102,0.5859303627439634
AR3872,AR,-5.667727992238559,-0.007194733573531727,-0.00481874521302037,1.6039742183011334
AR3873,AR,-5.42756769490164,-0.008369053485606365,-0.006084670689110977,1.790655178472267
AR3875,AR,-4.251903468670402,-0.012915655568847223,-0.000378237718740466,0.430742089682168
AR3876,AR,-5.920519968495125,-0.0066338298642074625,-0.003926654259916828,0.7953724496395543
AR3877,AR,-5.650494184310732,-0.00706494058929476,-0.0046017845566544155,0.7481007619003258
AR3879,AR,-4.59662960469279,-0.009299441314902518,-0.002270422428550622,0.8125570955903606
AR3883,AR,-4.675694088101822,-0.020213436730797847,-0.009288710072288264,0.6633408865947422
AR3884,AR,-4.301753531163147,-0.021299404925298703,-0.013757876422452592,1.2596087581642221
AR3885,AR,-4.436568673377754,-0.025800151934566674,-0.013190974385458128,0.5192237759614496
AR3886,AR,-4.615277190614516,-0.009095035300451854,-0.0021239874964123747,0.48044863599360244
AR3887,AR,-4.442782176906327,-0.007126035603600332,0.0013467349798123882,0.45988317711775983
AR3891,AR,-5.366828436443117,-0.009842034620782092,-0.007039137489481202,0.5700391103520077
AR3908,AR,-5.445054064593453,-0.0073657027320525705,-0.0031247701895239905,0.31471629989090577
AR3909,AR,-5.458743956508739,-0.008644915991035503,-0.004379643315930035,0.2888354777510078
AR3910,AR,-5.256840352859091,-0.009745525963972655,-0.006463028630267067,0.5103745763314333
AR3911,AR,-4.569975745999961,-0.00872584552354926,0.00010238831618407493,0.13532439208300606
AR3914,AR,-4.23001770115054,-0.00798336303845663,0.0018538295891426606,0.4836357152099643
AR3915,AR,-4.182282113847866,-0.007699942746738507,0.009587946206821676,-0.35038520272237256
AR3917,AR,-3.742823500311592,-0.01849027443394576,0.004834377780523616,-0.15124341014798237
AR3918,AR,-3.858065552721501,-0.01589730855573178,0.003009429484000115,0.016915371335511947
AR3919,AR,-5.117374931415101,-0.0063959602943242586,-0.0032742170292430913,0.528137296506054
AR3920,AR,-5.705213928047515,-0.0068461520938315245,-0.003988608745317625,-0.050487479603119965
AR3921,AR,-3.831346126125297,-0.019586228435210105,0.0012700338998523479,-0.13787913354380146
