cell_name,cohort,dop_peak_theta_c1_chg,dop_peak_theta_c5_chg,dop_peak_theta_c1_dis,dop_peak_theta_c5_dis,dop_peak_theta_shift_chg_c1c5,dop_peak_theta_shift_dis_c1c5
0MC6-260218-R003,0MC,47.7,47.7,49.68000000000001,54.18,0.0,4.499999999999993
0MC6-260218-R004,0MC,47.52,50.400000000000006,60.839999999999996,60.3,2.8800000000000026,-0.5399999999999991
0MC6-260218-R005,0MC,47.52,47.88,58.67999999999999,54.18,0.35999999999999943,-4.499999999999993
0MC6-260218-R006,0MC,47.52,47.88,54.18,60.839999999999996,0.35999999999999943,6.659999999999997
0MC6-260303-R001,0MC,52.02,52.739999999999995,65.52,68.76,0.7199999999999918,3.240000000000009
0MC6-260303-R001_from_db,0MC,52.02,52.739999999999995,65.52,68.76,0.7199999999999918,3.240000000000009
0MC6-260303-R002,0MC,50.580000000000005,54.18,68.04,67.14,3.5999999999999943,-0.9000000000000057
0MC6-260303-R003,0MC,52.02,54.18,69.66,65.16,2.1599999999999966,-4.5
0MC6-260303-R004,0MC,50.400000000000006,52.559999999999995,60.839999999999996,66.96,2.1599999999999895,6.119999999999997
0MC6-260303-R005,0MC,52.2,52.919999999999995,64.44,63.17999999999999,0.7199999999999918,-1.2600000000000051
0MC6-260303-R006,0MC,52.2,53.279999999999994,67.5,63.17999999999999,1.0799999999999912,-4.320000000000007
0MC6-260305-R001,0MC,45.72,76.5,74.16000000000001,76.5,30.78,2.339999999999989
0MC6-260316-R002,0MC,55.98,50.580000000000005,60.839999999999996,60.839999999999996,-5.3999999999999915,0.0
0MC6-260317-R001,0MC,NaN,NaN,85.67999999999999,85.5,NaN,-0.1799999999999926
0MC6-260317-R005,0MC,73.44000000000001,78.3,81.0,76.5,4.859999999999985,-4.5
0MC6-260317-R007,0MC,49.86000000000001,47.88,49.68000000000001,52.02,-1.980000000000004,2.3399999999999963
0MC6-260317-R008,0MC,51.120000000000005,47.88,52.02,51.84,-3.240000000000002,-0.17999999999999972
0MC6-260319-R001,0MC,56.16,52.2,58.67999999999999,64.8,-3.9599999999999937,6.1200000000000045
0MC6-260319-R002,0MC,54.18,54.18,56.34,63.54,0.0,7.199999999999996
0MC6-260323-R006,0MC,47.88,78.48,76.5,73.98,30.6,-2.519999999999996
0MC6-260323-R007,0MC,47.88,50.400000000000006,76.5,71.28,2.520000000000003,-5.219999999999999
0MC6-260323-R008,0MC,47.88,75.42,76.5,72.36,27.54,-4.140000000000001
0MC6-260325-R003,0MC,47.88,45.72,76.5,54.36,-2.1600000000000037,-22.14
0MC6-260402-R001,0MC,NaN,78.66,78.84,69.12,NaN,-9.719999999999999
0MC6-260402-R002,0MC,NaN,75.6,61.019999999999996,56.88,NaN,-4.1399999999999935
0MC6-260402-R003,0MC,NaN,87.84,66.78,57.96,NaN,-8.82
0MC6-260402-R004,0MC,NaN,85.67999999999999,60.75000000000001,62.99999999999999,NaN,2.249999999999986
0MC6-260402-R005,0MC,59.57999999999999,55.62,61.199999999999996,57.06,-3.9599999999999937,-4.1399999999999935
0MC6-260402-R006,0MC,74.7,NaN,58.67999999999999,56.52,NaN,-2.1599999999999895
0MC6-260402-R007,0MC,NaN,56.88,61.019999999999996,59.03999999999999,NaN,-1.980000000000004
0MC6-260402-R008,0MC,71.46000000000001,74.88,70.02,61.739999999999995,3.4199999999999875,-8.280000000000001
0MC6-260402-R009,0MC,70.02,87.84,58.67999999999999,56.7,17.820000000000007,-1.9799999999999898
0MC6-260402-R010,0MC,85.32,NaN,61.019999999999996,56.25,NaN,-4.769999999999996
0MC6-260402-R011,0MC,87.84,NaN,58.67999999999999,56.16,NaN,-2.519999999999996
0MC6-260402-R012,0MC,NaN,76.14,60.839999999999996,56.88,NaN,-3.9599999999999937
0MC6-260402-R013,0MC,47.52,47.7,51.84,51.84,0.17999999999999972,0.0
0MC6-260402-R014,0MC,NaN,81.0,60.839999999999996,56.88,NaN,-3.9599999999999937
0MC6-260402-R015,0MC,NaN,54.36,76.86,58.67999999999999,NaN,-18.180000000000007
0MC6-260403-R001,0MC,NaN,74.88,62.63999999999999,57.06,NaN,-5.579999999999991
0MC6-260403-R002,0MC,NaN,83.25,61.739999999999995,56.7,NaN,-5.039999999999992
0MC6-260403-R003,0MC,NaN,51.84,65.7,62.279999999999994,NaN,-3.420000000000009
0MC6-260430-R001,0MC,NaN,77.94,69.48,68.58,NaN,-0.9000000000000057
0MC6-260430-R002,0MC,64.8,71.82000000000001,80.28,76.5,7.02000000000001,-3.780000000000001
0MC6-260430-R003,0MC,68.76,NaN,71.46000000000001,76.5,NaN,5.039999999999992
0MC6-260430-R004,0MC,NaN,NaN,72.0,75.42,NaN,3.4200000000000017
0MC6-260430-R005,0MC,NaN,81.0,74.33999999999999,65.34,NaN,-8.999999999999986
0MC6-260430-R006,0MC,NaN,50.040000000000006,76.5,76.5,NaN,0.0
0MC6-260513-R001,0MC,50.400000000000006,50.220000000000006,63.17999999999999,63.17999999999999,-0.17999999999999972,0.0
0MC6-260513-R002,0MC,50.760000000000005,73.80000000000001,56.34,52.02,23.040000000000006,-4.32
0MC6-260513-R003,0MC,48.96,48.96,69.84,67.68,0.0,-2.1599999999999966
0MC6-260513-R004,0MC,50.400000000000006,50.040000000000006,69.84,69.84,-0.35999999999999943,0.0
0MC6-260513-R005,0MC,49.86000000000001,51.84,58.67999999999999,54.18,1.9799999999999969,-4.499999999999993
0MC6-260513-R006,0MC,52.02,49.32000000000001,67.68,65.34,-2.6999999999999957,-2.3400000000000034
0MC6-260513-R007,0MC,50.220000000000006,50.400000000000006,67.68,67.68,0.17999999999999972,0.0
0MC6-260513-R008,0MC,50.400000000000006,48.24,67.68,67.68,-2.1600000000000037,0.0
0MC6-260513-R009,0MC,50.400000000000006,51.660000000000004,65.34,60.839999999999996,1.259999999999998,-4.500000000000007
0MC6-260514-R002,0MC,87.84,87.84,56.7,57.06,0.0,0.35999999999999943
0MC6-260514-R003,0MC,87.84,87.84,56.52,56.25,0.0,-0.2700000000000031
0MC6-260514-R004,0MC,87.84,87.84,57.96,56.88,0.0,-1.0799999999999983
0MC6-260514-R005,0MC,85.67999999999999,87.84,57.78,57.6,2.160000000000011,-0.17999999999999972
0MC6-260514-R006,0MC,87.84,88.02,57.6,56.88,0.1799999999999926,-0.7199999999999989
0MC8-251113-R001,0MC,49.68000000000001,45.72,54.18,56.34,-3.960000000000008,2.1600000000000037
0MC8-251113-R002,0MC,49.68000000000001,47.7,56.34,54.18,-1.980000000000004,-2.1600000000000037
0MC8-251209-R002,0MC,47.88,45.9,54.18,56.34,-1.980000000000004,2.1600000000000037
0MC8-251216-R001,0MC,51.300000000000004,47.7,51.84,54.18,-3.6000000000000014,2.3399999999999963
AR-2736,AR,56.7,54.36,60.3,63.17999999999999,-2.3400000000000034,2.8799999999999955
AR-3420,AR,49.86000000000001,57.24,45.72,47.52,7.3799999999999955,1.8000000000000043
AR-3421,AR,49.86000000000001,57.42,45.18,47.52,7.559999999999995,2.3400000000000034
AR-3422,AR,52.919999999999995,49.86000000000001,65.52,70.74000000000001,-3.059999999999988,5.220000000000013
AR-3423,AR,52.02,47.7,66.06,67.32,-4.32,1.259999999999991
AR3684,AR,54.18,49.68000000000001,73.08,70.56,-4.499999999999993,-2.519999999999996
AR3685,AR,54.18,47.52,65.16,72.36,-6.659999999999997,7.200000000000003
AR3771,AR,49.68000000000001,54.54,47.52,52.02,4.859999999999992,4.5
AR3772,AR,52.02,47.88,56.52,63.17999999999999,-4.140000000000001,6.6599999999999895
AR3773,AR,52.02,47.7,65.88,69.3,-4.32,3.4200000000000017
AR3774,AR,54.36,47.7,64.62,67.32,-6.659999999999997,2.6999999999999886
AR3775,AR,56.7,53.099999999999994,47.52,47.52,-3.6000000000000085,0.0
AR3776,AR,52.02,49.86000000000001,70.02,69.84,-2.1599999999999966,-0.1799999999999926
AR3843,AR,NaN,NaN,NaN,NaN,NaN,NaN
AR3854,AR,49.68000000000001,47.7,60.839999999999996,63.17999999999999,-1.980000000000004,2.3399999999999963
AR3858,AR,55.62,62.81999999999999,67.68,65.34,7.199999999999996,-2.3400000000000034
AR3864,AR,45.36,54.54,47.52,49.68000000000001,9.18,2.1600000000000037
AR3865,AR,49.86000000000001,57.96,47.52,50.580000000000005,8.099999999999994,3.0600000000000023
AR3867,AR,47.7,47.88,66.78,65.7,0.17999999999999972,-1.0799999999999983
AR3870,AR,43.019999999999996,56.7,47.52,47.52,13.680000000000007,0.0
AR3871,AR,47.52,49.68000000000001,63.36,63.17999999999999,2.1600000000000037,-0.18000000000000682
AR3872,AR,43.019999999999996,52.02,49.68000000000001,52.02,9.000000000000007,2.3399999999999963
AR3873,AR,43.019999999999996,49.86000000000001,52.02,49.68000000000001,6.8400000000000105,-2.3399999999999963
AR3875,AR,49.68000000000001,49.68000000000001,64.08,63.9,0.0,-0.17999999999999972
AR3876,AR,54.36,54.36,45.18,45.36,0.0,0.17999999999999972
AR3877,AR,52.02,54.18,45.18,45.36,2.1599999999999966,0.17999999999999972
AR3879,AR,49.86000000000001,49.86000000000001,56.34,58.67999999999999,0.0,2.339999999999989
