seed,N,w_rsf,c_index,auc_at_200,auc_at_300,auc_at_400
3,400,0.8,0.768970189701897,,,0.7693452380952381
3,400,0.9,0.7777777777777778,,,0.7797619047619048
3,400,1.0,0.782520325203252,,,0.793154761904762
4,400,0.0,0.7904191616766467,,,0.8583916083916084
4,400,0.1,0.7926646706586826,,,0.8583916083916084
4,400,0.2,0.7979041916167665,,,0.8653846153846154
4,400,0.3,0.7994011976047904,,,0.8653846153846154
4,400,0.4,0.8023952095808383,,,0.8706293706293706
4,400,0.5,0.8083832335329342,,,0.8828671328671329
4,400,0.6,0.8076347305389222,,,0.8863636363636364
4,400,0.7,0.8143712574850299,,,0.8933566433566433
4,400,0.8,0.8211077844311377,,,0.8951048951048951
4,400,0.9,0.8233532934131736,,,0.8968531468531469
4,400,1.0,0.8263473053892215,,,0.9038461538461539
5,400,0.0,0.7750188111361926,,,0.8226086956521739
5,400,0.1,0.7772761474793077,,,0.8243478260869566
5,400,0.2,0.7787810383747178,,,0.8295652173913043
5,400,0.3,0.7848006019563581,,,0.8417391304347827
5,400,0.4,0.7878103837471784,,,0.8434782608695652
5,400,0.5,0.7960872836719338,,,0.8556521739130435
5,400,0.6,0.8028592927012792,,,0.8626086956521739
5,400,0.7,0.800601956358164,,,0.8608695652173913
5,400,0.8,0.8028592927012792,,,0.8695652173913043
5,400,0.9,0.800601956358164,,,0.8660869565217391
5,400,1.0,0.8021068472535741,,,0.8660869565217391
