cell_name,cohort,dqdv_peak_v_c5_dis,dqdv_peak_v_shift_c1c5_dis,dqdv_charge_discharge_hysteresis_c5,dqdv_cosine_sim_c1c5_dis
AR3962,AR,3.600599999999879,-0.016199999999997772,0.21390000000009657,0.9988887033612012
AR3963,AR,3.6151999999998767,0.007899999999998908,0.12770000000010784,0.9987910299935756
AR3964,AR,3.614799999999877,0.007799999999998697,0.21190000000009324,0.9988885686076072
AR3966,AR,3.5865999999998803,0.015799999999998704,0.2564000000000961,0.9988646655170256
AR3967,AR,3.604699999999878,0.0,0.204000000000097,0.9989705732290507
AR3968,AR,3.5918999999998795,0.007799999999999141,0.23790000000009703,0.999204583405363
AR3970,AR,3.6260999999998758,-0.008899999999999242,0.08930000000009874,0.9992184674257791
AR3971,AR,3.6147999999998772,0.0022999999999999687,0.2078000000001019,0.9988419429305916
AR3972,AR,3.6174999999998767,0.011999999999998678,0.20090000000010022,0.9989563414385978
AR3973,AR,3.6718999999998707,0.0025999999999997137,0.11980000000007518,0.9958257359877908
AR3974,AR,3.661399999999872,-0.007399999999999185,0.13680000000007286,0.9952163926397165
AR3975,AR,3.6103999999998773,-0.015099999999998559,0.22810000000008301,0.9974270644481451
AR3976,AR,3.605399999999878,0.0013999999999994017,0.23120000000008378,0.9970573400055291
AR3977,AR,3.6119999999998775,-0.0009999999999998899,0.17720000000010083,0.9982875448923237
AR3978,AR,3.59059999999988,-0.009999999999998899,0.2095000000000975,0.9987453046427555
AR3979,AR,3.6024999999998784,0.0016999999999995907,0.19530000000009995,0.9980001255741763
AR3980,AR,3.5284999999998865,0.00869999999999882,0.29550000000009113,0.9995752041458392
AR3981,AR,3.5109999999998887,0.004999999999999449,0.30840000000008994,0.999381498783542
AR3982,AR,3.5835999999998807,0.02079999999999771,0.20820000000009875,0.9932783729944371
AR3983,AR,3.622699999999876,-0.000300000000000189,0.16680000000010242,0.9989573276037921
AR3985,AR,3.598999999999879,0.0019999999999997797,0.20840000000010006,0.9992889545275954
AR3992,AR,3.5801999999998806,-0.000500000000000167,0.16310000000010794,0.9990694633374926
AR3993,AR,3.5836999999998804,-0.015299999999998537,0.2287000000001007,0.9994878225887078
AR3994,AR,3.5913999999998794,-0.000800000000000356,0.21730000000010152,0.9990778347569219
AR4015,AR,3.6091999999998774,-0.023699999999997168,0.15930000000006306,0.9976527865655457
AR4016,AR,3.6347999999998746,-0.009399999999998965,0.115400000000069,0.9987117000931878
AR4018,AR,3.5920999999998795,-0.011099999999999,0.21630000000009986,0.9979743758595059
AR4019,AR,3.4767999999998924,-0.00019999999999997797,0.3758000000000865,0.9981697727424561
AR4020,AR,3.505899999999889,-0.04489999999999528,0.33540000000008874,0.9989245507621775
AR4021,AR,3.581999999999881,-0.013699999999998269,0.2176000000000955,0.9968962436224413
AR4023,AR,3.385799999999902,-0.055199999999994365,0.46440000000007764,0.9981084419088049
AR4024,AR,3.49869999999989,-0.00879999999999903,0.35190000000009025,0.9993181843371368
AR4035,AR,3.596909999999879,-0.0006099999999999994,0.24249000000009024,0.999273693280957
AR4037,AR,3.58709999999988,0.0016099999999998893,0.2579900000000963,0.9991914002293244
AR4038,AR,3.5731399999998814,-0.008449999999999402,0.2889100000000937,0.9940646075477718
AR4039,AR,3.596589999999879,-0.000030000000000196536,0.24940000000009332,0.9991269225374169
AR4041,AR,3.6119999999998775,0.01319999999999899,0.21930000000009553,0.9985870630305935
AR4042,AR,3.608399999999878,-0.0026999999999994806,0.22040000000009474,0.9987921194497581
AR4053,AR,3.5759999999998815,-0.0017999999999998018,0.25690000000009494,0.9991188994351954
AR4055,AR,3.6261699999998758,0.008899999999999242,0.09705000000010644,0.9982480220380551
AR4056,AR,3.597709999999879,0.0030999999999998806,0.2379800000000949,0.9985430338591496
AR4057,AR,NaN,NaN,NaN,NaN
AR4064,AR,3.6440999999998738,-0.009599999999998943,0.03690000000008675,0.9992515312271575
AR4065,AR,3.6476999999998734,-0.005599999999999383,0.04020000000008572,0.9994212376579295
AR4068,AR,3.6369999999998748,-0.007999999999999119,0.05340000000009093,0.9996700046499203
AR4069,AR,3.6278999999998756,0.0012999999999996348,0.07650000000008728,0.9996488019010146
AR4070,AR,3.5830299999998805,0.0007399999999999629,0.2650000000000974,0.9987336845380588
