w_rsf,w_xgb_aft,w_lifelines_cox,w_lifelines_weibull_aft,c_mean,c_std
0.1,0.2,0.7000000000000001,0.0,0.7797635651721023,0.020433400748858084
0.30000000000000004,0.2,0.1,0.4,0.7797622204908453,0.014994024082334502
0.2,0.1,0.5,0.2,0.7794684134901935,0.016063586748672934
0.30000000000000004,0.2,0.2,0.30000000000000004,0.7793371454440784,0.014960405851191912
0.30000000000000004,0.1,0.30000000000000004,0.30000000000000004,0.7792827887029216,0.01593351936019738
0.2,0.6000000000000001,0.0,0.2,0.7792482068536927,0.0198607800544496
0.2,0.0,0.6000000000000001,0.2,0.7792453836336524,0.015561512532155744
0.30000000000000004,0.1,0.2,0.4,0.7791377239773906,0.01509723264130163
0.4,0.0,0.0,0.6000000000000001,0.77895175440899,0.017435747802649997
0.30000000000000004,0.0,0.4,0.30000000000000004,0.778939157180783,0.016161908883964068
0.1,0.1,0.7000000000000001,0.1,0.778897346798118,0.013863652875187323
0.2,0.2,0.2,0.4,0.7788855987296399,0.01290339583715831
0.4,0.0,0.2,0.4,0.7787894565819806,0.01603706658580864
0.2,0.8,0.0,0.0,0.7786138724536589,0.019018584710469678
0.2,0.30000000000000004,0.2,0.30000000000000004,0.7786102202538923,0.015407390887675095
0.30000000000000004,0.0,0.30000000000000004,0.4,0.7783492743516709,0.015937282877981445
0.1,0.0,0.8,0.1,0.7783403547855734,0.015690883191060226
0.2,0.5,0.0,0.30000000000000004,0.7783030818334857,0.018328714786004847
0.2,0.30000000000000004,0.0,0.5,0.7783000263132254,0.014135588076514487
0.2,0.1,0.4,0.30000000000000004,0.7782449738104739,0.014099772498141441
0.30000000000000004,0.1,0.0,0.6000000000000001,0.7782012324096576,0.015206618259470374
0.1,0.1,0.6000000000000001,0.2,0.7781325455654515,0.012560300240629298
0.2,0.5,0.1,0.2,0.7781159664240811,0.020626946651378077
0.2,0.7000000000000001,0.1,0.0,0.7780857730801719,0.019745790056566827
0.2,0.4,0.2,0.2,0.7779632022494519,0.020777742142529573
0.4,0.0,0.1,0.5,0.7778903741113,0.01621985323356543
0.2,0.30000000000000004,0.1,0.4,0.7776861441105938,0.015520370080254859
0.2,0.1,0.30000000000000004,0.4,0.777651848973296,0.01541276014946249
0.1,0.2,0.6000000000000001,0.1,0.7775095502828684,0.02058455437080813
0.2,0.4,0.0,0.4,0.7774467582321539,0.015909424091959633
0.2,0.0,0.5,0.30000000000000004,0.7774343276106128,0.01711284015114304
0.2,0.5,0.30000000000000004,0.0,0.7774340108072769,0.020825061748857288
0.30000000000000004,0.1,0.1,0.5,0.7773075136339965,0.01531991290533206
0.30000000000000004,0.0,0.2,0.5,0.7769734164204877,0.016783586358274562
0.2,0.2,0.0,0.6000000000000001,0.7769203840105161,0.012783049863224557
0.1,0.4,0.4,0.1,0.7765571996725203,0.021698969164592553
0.1,0.8,0.0,0.1,0.7764632056659522,0.020286920109565287
0.1,0.30000000000000004,0.6000000000000001,0.0,0.7764139194225933,0.02159702708506985
0.1,0.30000000000000004,0.5,0.1,0.7761213325389409,0.021783601145159422
0.2,0.6000000000000001,0.2,0.0,0.7761122431399003,0.021384417355900107
0.1,0.5,0.30000000000000004,0.1,0.7761094036962075,0.02228650315809095
0.1,0.7000000000000001,0.1,0.1,0.7760609852937377,0.021036469001123905
0.2,0.2,0.1,0.5,0.7760263083703771,0.014818887320225696
0.1,0.9,0.0,0.0,0.7759734643619887,0.0193168102246409
0.2,0.4,0.1,0.30000000000000004,0.7757797716060297,0.01781065693809397
0.1,0.5,0.0,0.4,0.7757624293405986,0.016943188459127078
0.2,0.1,0.2,0.5,0.7756801908974901,0.015478511673528752
0.1,0.4,0.0,0.5,0.7754582091534508,0.01773663660460163
0.1,0.1,0.5,0.30000000000000004,0.7754290806146285,0.014431911462197638
0.1,0.7000000000000001,0.0,0.2,0.7753814653394192,0.01903422584736093
0.1,0.4,0.5,0.0,0.7753372975401046,0.020796776975919674
0.1,0.5,0.4,0.0,0.7753358989908663,0.020860756700198695
0.1,0.6000000000000001,0.2,0.1,0.7752922903055389,0.023302059522683806
0.1,0.6000000000000001,0.0,0.30000000000000004,0.7749520375347385,0.0194870539420587
0.1,0.5,0.2,0.2,0.774895670500077,0.02091957435917852
0.1,0.6000000000000001,0.1,0.2,0.774879755845772,0.020549210628166965
0.30000000000000004,0.0,0.1,0.6000000000000001,0.7748617948646033,0.017746899744528512
0.1,0.2,0.5,0.2,0.7747674991194595,0.018181327949832776
0.1,0.4,0.30000000000000004,0.2,0.7745925956681459,0.02066179586667689
0.2,0.0,0.4,0.4,0.7744149681532843,0.017170720703796417
0.1,0.5,0.1,0.30000000000000004,0.7743667362797068,0.01903218739582036
0.1,0.8,0.1,0.0,0.7742449898194774,0.019809922352853473
0.1,0.1,0.4,0.4,0.774219919624513,0.015651978989668844
0.1,0.30000000000000004,0.4,0.2,0.7740079044716136,0.020563321038374636
0.1,0.6000000000000001,0.30000000000000004,0.0,0.7739138560533346,0.02204236461128539
0.1,0.7000000000000001,0.2,0.0,0.7737650319903822,0.02202033618852254
0.1,0.2,0.4,0.30000000000000004,0.7737353288078925,0.018622633450311794
0.1,0.4,0.2,0.30000000000000004,0.7736906280538773,0.020330268257060677
0.30000000000000004,0.0,0.0,0.7000000000000001,0.7736723542392139,0.019190121338330573
0.1,0.0,0.7000000000000001,0.2,0.7736641900741841,0.016888432342292956
0.1,0.30000000000000004,0.2,0.4,0.773556346815863,0.02106122592830715
0.2,0.1,0.1,0.6000000000000001,0.7734047575441257,0.015534231629353228
0.1,0.4,0.1,0.4,0.7733243122338591,0.01904617095335344
0.1,0.30000000000000004,0.0,0.6000000000000001,0.7732336210000119,0.018328467252685183
0.1,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.7732276469307744,0.020468804933511373
0.1,0.2,0.30000000000000004,0.4,0.7729813967658379,0.0188419330810804
0.1,0.30000000000000004,0.1,0.5,0.7729566678848034,0.020743992114366505
0.2,0.1,0.0,0.7000000000000001,0.7729503187725704,0.016571845084859448
0.2,0.0,0.30000000000000004,0.5,0.7720007647169692,0.018775984313929104
0.1,0.1,0.30000000000000004,0.5,0.7717905500214315,0.017766743844047528
0.1,0.2,0.2,0.5,0.7716491248110388,0.020123248425375464
0.2,0.0,0.2,0.6000000000000001,0.7711114217070287,0.01896882921392372
0.1,0.0,0.6000000000000001,0.30000000000000004,0.7709639961933145,0.018698495028346824
0.1,0.2,0.0,0.7000000000000001,0.770871806825498,0.01967679278884444
0.0,0.1,0.9,0.0,0.7708379615760064,0.028696268899531398
0.1,0.2,0.1,0.6000000000000001,0.7704549515554509,0.020871738317058887
0.0,0.9,0.0,0.1,0.7702287928448569,0.025957602944841368
0.0,1.0,0.0,0.0,0.7701870335106001,0.023649574420751624
0.1,0.1,0.2,0.6000000000000001,0.7701409426656725,0.02022817102682838
0.1,0.1,0.0,0.8,0.7700039587440924,0.020315196971712867
0.0,0.7000000000000001,0.0,0.30000000000000004,0.7699693543732373,0.025900236257648607
0.0,0.8,0.0,0.2,0.7699338428310049,0.025430270765520558
0.0,0.6000000000000001,0.0,0.4,0.7693703758878051,0.02525377445833773
0.0,0.9,0.1,0.0,0.7693471134872907,0.024525623926871593
0.2,0.0,0.1,0.7000000000000001,0.7693205427090805,0.02089489750742848
0.1,0.1,0.1,0.7000000000000001,0.7689393073764489,0.0210842875812799
0.2,0.0,0.0,0.8,0.7688640976718035,0.022052206861116683
0.0,0.8,0.1,0.1,0.7686380043553197,0.026632663574109098
